Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_11227d81	me	Моё сознание тонет в море хаоса.	game/act_first.rpy	37	me "[what]"
start_70fec3c8	me	Каждый звук, как разбивающаяся волна.	game/act_first.rpy	39	me "[what]"
start_0f020229	me	Свет уличного фонаря бьёт мне в глаза...	game/act_first.rpy	45	me "[what]"
start_afd0c210	me	Дождь льёт как из ведра...	game/act_first.rpy	47	me "[what]"
start_90c06a0b	me	А я лежу на асфальте...	game/act_first.rpy	49	me "[what]"
start_baa84c5d	me	Холодном и безжизненном, как и моя дрожащая от ужаса душа.	game/act_first.rpy	51	me "[what]"
start_6857c1b7	me	Этот кошмар, словно парализовал каждую мышцу моего тела, не позволяя ей действовать.	game/act_first.rpy	53	me "[what]"
start_2ade423f	police	ВСЕМ ОСТАВАТЬСЯ НА МЕСТЕ! НИКТО НЕ ПОДХОДИТ!	game/act_first.rpy	59	police "[what]"
start_9cdcba46	me	Улица пропитана всепоглощающим страхом.	game/act_first.rpy	67	me "[what]"
start_ff846e29	me	Сигналы машин.	game/act_first.rpy	69	me "[what]"
start_266537c1	me	Тени людей, спасающихся бегством.	game/act_first.rpy	71	me "[what]"
start_fdfc986c	police	ВПЕРЁД, ШЕВЕЛИТЕСЬ!	game/act_first.rpy	77	police "[what]"
start_354bb1e2	me	Я хочу кричать...	game/act_first.rpy	79	me "[what]"
start_6387475b	me	Я напрягаюсь из-за всех сил...	game/act_first.rpy	81	me "[what]"
start_4d4af043	me	Но не в силах сделать это даже в собственных мыслях.	game/act_first.rpy	83	me "[what]"
start_d31c2fb6	child	МАМА!	game/act_first.rpy	85	child "[what]"
start_4e0c7e4b	me	Только наблюдать.	game/act_first.rpy	89	me "[what]"
start_b0ff5849	me	Только ждать своей участи!	game/act_first.rpy	91	me "[what]"
start_249ee536	skp	Команда, докладывайте, что тут происходит?!	game/act_first.rpy	99	skp "[what]"
start_7b7a7ea3	skp	Держитесь подальше от этой зоны, это может быть опасно!	game/act_first.rpy	101	skp "[what]"
start_11467ac1	citizen	СДЕЛАЙТЕ ЖЕ, ХОТЬ ЧТО-ТО!	game/act_first.rpy	103	citizen "[what]"
start_1ebfeb1f	me	Трудно дышать...	game/act_first.rpy	105	me "[what]"
start_6165b5f9	skp	Эй парень, а ну выходи отсюда, здесь опас...	game/act_first.rpy	107	skp "[what]"
start_4f0a4f20	skp	ТВОЮ МАТЬ!	game/act_first.rpy	109	skp "[what]"
